,EM Antônia Lucia Navarro Braga,EM Antônio Nominando Diniz,EMAI Analice Caldas,EMAI Arnaldo de Barros Moreira,EMAI Chico Xavier,EMAI Dom José Maria Pires,EMAI Dr. Severino Patrício,EMAI Duque de Caxias,EMAI Frei Afonso,EMAI Gov. Leonel Brizola,EMAI João XVIII,EMAI Prof. Anísio Teixeira,EMAI Prof. Oscar de Castro,EMAI Ubirajara Targino Botto,EMEF Antenor Navarro,EMEF Aruanda,EMEF Cantalice Leite Magalhães,EMEF Com. Cícero Leite,EMEF Darcy Ribeiro,EMEF Duarte da Silveira,EMEF Fenelon Câmara,EMEF Francisca Moura,EMEF Frutuoso Barbosa,EMEF General Rodrigo Otávio,EMEF Luiz Vaz de Camões,EMEF Major José de Barros Moreira,EMEF Nazinha Barbosa,EMEF Pe. Pedro Serrão,EMEF Pres. João Pessoa,EMEF Prof. Afonso Pereira da Silva,EMEF Prof. Aníbal Moura,EMEF Prof. Francisco Pereira da Nóbrega,EMEF Prof. Lynaldo Cavalcanti de Albuquerque,EMEF Santa Ângela,EMEF Santos Dumont,EMEF Tharcilla Barbosa da Franca,EMEF Violeta Formiga,EMEF Virginius da Gama e Melo,EMEF Zulmira de Novais,EMEF Zumbi dos Palmares,EMEF em Tempo Integral Dep. Fernando Paulo Carrilho Milanez,EMEF em Tempo Integral Min. José Américo de Almeida,EMEF Índio Piragibe,EMEIEF Anita Trigueiro do Valle,EMEIEF Antônio Santos Coelho Neto,EMEIEF Apolônio Sales de Miranda,EMEIEF Castro Alves,EMEIEF David Trindade,EMEIEF Dom Helder Câmara,EMEIEF João Monteiro da França,EMEIEF Leônidas Santiago,EMEIEF Moema Tinoco Cunha Lima,EMEIEF Olívio Ribeiro Campos,EMEIEF Prof. Durmeval Trigueiro Mendes,EMEIEF Prof. Luiz Mendes Pontes,EMEIEF Profa. Anayde Beiriz,EMEIEF Prof. Hugo Moura,EMEIEF Quilombola Profa. Antônia do Socorro Silva Machado,EMEIEF Séráfico da Nóbrega,EMEIEF em Tempo Integral Almirante Barroso,EMEIEF em Tempo Integral Damásio Barbosa da França,Instituto Dom Adauto
EMEF Luiz Vaz de Camões,7640,16915,9550,12338,15155,13117,14595,10718,12208,9442,13117,9374,10494,9342,6797,4444,14759,3969,6944,9517,5584,12816,16065,10724,0,11421,13336,8393,12759,3135,10943,8459,13788,8071,11867,7725,13553,2202,11246,1841,4656,4751,2434,6836,7876,12007,10496,778,2874,13424,9321,7452,4069,8668,8917,15394,12118,5558,11286,10543,11044,10580
EMEF Major José de Barros Moreira,16713,21840,5356,17263,6202,9509,10456,17521,3635,3726,9509,14289,7316,14257,17064,9789,19684,16761,14217,15458,14039,532,6488,2213,13462,0,3623,13350,17684,15239,6912,13373,18712,13028,6042,15721,1492,11631,16170,12049,16938,12593,12908,8277,17051,16931,15420,12989,16041,18348,6923,15002,11047,12885,13443,20318,1660,18724,4859,15468,5587,4611
EMEF Nazinha Barbosa,15947,21074,8321,16497,4861,17276,18754,16755,7033,4662,17276,13523,10284,13491,16298,7669,18918,15995,13452,14693,13273,3930,9886,4015,11341,3725,0,12585,16918,13101,9881,12608,17947,12263,8969,14956,4890,9511,15405,10476,16172,11827,10145,5210,11348,16166,14655,10868,14454,17583,12943,14236,8291,12119,12677,19553,5057,18514,1610,14702,8146,7683
EMEF Pe. Pedro Serrão,6488,11309,3377,3994,16629,4933,8988,6990,6764,10916,4933,4064,2313,1065,6839,7652,9152,8013,3992,5233,3814,7442,10458,12199,9431,7650,14811,0,7153,11086,2762,1496,8181,439,4456,5497,8180,7653,2311,8259,6713,5642,8755,13529,12897,2578,4889,8686,8923,7817,1470,4777,8203,995,736,9787,6744,11022,13503,2386,4878,4545
EMEF Pres. João Pessoa,8633,4265,8713,4713,19217,6965,8442,2555,12401,13504,6965,3962,6412,6260,8751,10239,2109,10604,5544,3019,6712,12080,9913,14786,12022,17015,17398,7654,0,13677,6862,6983,2188,7514,10626,6793,12818,10243,4729,10850,10369,8233,11346,16117,15488,5489,3979,11276,11514,867,8455,6709,10790,8248,6915,2743,11382,13613,16090,4743,11102,9183
EMEF Prof. Afonso Pereira da Silva,10776,18411,11227,13834,19484,14612,16090,14092,13885,12119,14612,10870,11990,10838,9933,6122,16255,7361,10798,12039,8285,14493,17561,15053,3136,17282,12769,9888,14255,0,12439,9954,15283,9566,18273,10861,15231,3637,12741,3217,7793,6246,2546,8738,5739,13502,11991,3447,5087,14919,10816,11583,5309,10163,10413,16889,13795,8123,11352,12038,12721,12258
EMEF Prof. Aníbal Moura,11902,10142,2999,2426,14989,3365,5584,5823,4708,9276,3365,5582,779,2719,12020,8126,7986,12224,7163,6288,8332,6366,3830,6901,11799,6775,10018,2742,5986,15297,0,4147,7015,3090,2172,8413,7103,9968,2752,12470,13638,9853,12966,11889,17108,1537,2959,12896,13134,6651,2740,8329,9384,3019,2006,8621,5668,15233,11863,3032,2206,2411
EMEF Prof. Francisco Pereira da Nóbrega,5818,9812,4472,5236,15959,6014,7492,5493,11450,10245,6014,3394,3718,1484,6169,6981,7656,7343,3322,4563,3144,8538,8962,11528,8761,13757,14140,1496,5656,10415,4167,0,6685,1356,9675,4826,9275,6982,4143,7588,6042,4971,8084,12859,12227,3226,3393,8015,8252,6321,2566,4107,7532,2091,2141,8291,7840,10351,12832,3440,10152,5641
EMEF Prof. Lynaldo Cavalcanti de Albuquerque,8118,3604,8987,4987,19971,7239,8717,2040,12675,14258,7239,4717,6687,6534,8237,10994,1448,11481,5435,2504,7467,12354,10187,15541,12777,17770,18153,7352,1800,14431,7136,7738,0,8269,10900,5071,13092,10998,5003,11605,9855,8988,12100,16872,16243,5763,4253,12031,12268,819,8729,4947,11545,9003,7190,2083,11656,14825,16845,5017,11376,9457
EMEF Santa Ângela,6200,11446,3696,6869,16341,7648,9126,5410,7083,10628,7648,3776,3141,1731,6551,7363,9290,7725,3704,4945,3526,7761,10596,11910,8223,7969,14522,824,7290,9878,3590,1643,8319,0,6067,5208,8499,6445,2980,7051,6425,4434,7547,13241,11689,3246,5027,7477,8634,7955,2138,4489,7914,1314,1564,9925,7063,10734,13214,3054,5198,4864
EMEF Santos Dumont,14112,12353,2284,4636,13777,5576,6383,8034,3149,5683,5576,7792,3120,5060,14231,6914,10197,14435,9374,8498,8018,5647,2271,5313,10587,5809,9299,4604,8197,12364,2716,5700,9226,4643,0,10624,6385,8756,4962,9174,10917,9422,10033,10677,14176,4086,5170,10113,15344,8861,3203,8981,8171,4122,4417,10831,4949,17444,8199,5242,826,1015
EMEF Tharcilla Barbosa da Franca,1442,8314,9066,5066,17251,7317,8795,2673,12753,11538,7317,2668,6765,5461,2245,8274,6157,5151,1353,2209,3005,12433,10265,12821,9762,15049,15432,5474,5298,11416,7214,4803,5186,5334,10978,0,18514,7983,5081,8590,3524,5973,9085,14151,13228,5842,4331,9016,7303,5528,6543,601,8824,6068,6118,6792,11735,8494,14124,5096,11455,9535
EMEF Violeta Formiga,18029,16100,5239,10616,7518,9391,10338,18837,3518,5010,9391,15605,7198,15573,18380,11106,13943,18077,15533,16774,15355,1287,6371,3497,14778,1697,4940,8206,11835,16556,6795,14690,20029,14345,5924,17038,0,12947,9040,13365,18254,13909,14225,9561,18367,8165,16737,14305,17357,12702,6806,16318,12363,7771,8019,14578,1542,20041,6175,16784,5469,4494
EMEF Virginius da Gama e Melo,10168,15285,7920,10708,13525,11487,12965,10966,10578,7812,11487,7744,8864,7712,9159,2814,13129,6018,7673,8914,5160,11186,14435,9095,2052,9791,11706,6763,11129,3828,9313,6829,12158,6441,10237,9177,11924,0,9616,572,6705,3121,1795,6733,5937,10377,8866,1579,4564,11794,7691,8457,2440,7038,7288,13764,10488,7247,9347,8913,9414,8950
EMEF Zulmira de Novais,11490,9731,3985,2014,15975,2954,5172,5412,6673,10262,2954,5170,1684,1531,11608,9112,7575,9514,5494,5876,5316,7352,6643,7886,10933,7761,11004,2349,5575,12587,2133,2997,6603,2648,3828,6998,8089,9154,0,9760,8214,7143,10256,12875,14399,761,1559,10187,10424,6239,3726,6278,10370,3199,2187,8209,6654,12523,12849,1342,3862,4454
EMEF Zumbi dos Palmares,9554,15808,8143,11231,13748,12010,13487,11489,10801,8035,12010,8267,9387,8235,8711,3037,13652,5884,8195,9436,5683,11409,14958,9318,1829,10014,11929,7286,11652,3256,9836,7352,12681,6964,15671,9699,12146,421,10138,0,6571,3643,1349,6749,5954,10899,9389,1356,3992,12316,8214,8980,2662,7560,7810,14286,10711,6675,9363,9436,9637,9173
