,EM Antônia Lucia Navarro Braga,EM Antônio Nominando Diniz,EMAI Analice Caldas,EMAI Arnaldo de Barros Moreira,EMAI Chico Xavier,EMAI Dom José Maria Pires,EMAI Dr. Severino Patrício,EMAI Duque de Caxias,EMAI Frei Afonso,EMAI Gov. Leonel Brizola,EMAI João XVIII,EMAI Prof. Anísio Teixeira,EMAI Prof. Oscar de Castro,EMAI Ubirajara Targino Botto,EMEF Antenor Navarro,EMEF Aruanda,EMEF Cantalice Leite Magalhães,EMEF Com. Cícero Leite,EMEF Darcy Ribeiro,EMEF Duarte da Silveira,EMEF Fenelon Câmara,EMEF Francisca Moura,EMEF Frutuoso Barbosa,EMEF General Rodrigo Otávio,EMEF Luiz Vaz de Camões,EMEF Major José de Barros Moreira,EMEF Nazinha Barbosa,EMEF Pe. Pedro Serrão,EMEF Pres. João Pessoa,EMEF Prof. Afonso Pereira da Silva,EMEF Prof. Aníbal Moura,EMEF Prof. Francisco Pereira da Nóbrega,EMEF Prof. Lynaldo Cavalcanti de Albuquerque,EMEF Santa Ângela,EMEF Santos Dumont,EMEF Tharcilla Barbosa da Franca,EMEF Violeta Formiga,EMEF Virginius da Gama e Melo,EMEF Zulmira de Novais,EMEF Zumbi dos Palmares,EMEF em Tempo Integral Dep. Fernando Paulo Carrilho Milanez,EMEF em Tempo Integral Min. José Américo de Almeida,EMEF Índio Piragibe,EMEIEF Anita Trigueiro do Valle,EMEIEF Antônio Santos Coelho Neto,EMEIEF Apolônio Sales de Miranda,EMEIEF Castro Alves,EMEIEF David Trindade,EMEIEF Dom Helder Câmara,EMEIEF João Monteiro da França,EMEIEF Leônidas Santiago,EMEIEF Moema Tinoco Cunha Lima,EMEIEF Olívio Ribeiro Campos,EMEIEF Prof. Durmeval Trigueiro Mendes,EMEIEF Prof. Luiz Mendes Pontes,EMEIEF Profa. Anayde Beiriz,EMEIEF Prof. Hugo Moura,EMEIEF Quilombola Profa. Antônia do Socorro Silva Machado,EMEIEF Séráfico da Nóbrega,EMEIEF em Tempo Integral Almirante Barroso,EMEIEF em Tempo Integral Damásio Barbosa da França,Instituto Dom Adauto
EMEIEF Leônidas Santiago,7708,12528,1968,4940,13805,5879,8098,8209,5355,8092,5879,5284,2766,2094,8059,6942,10372,9233,5212,6453,5034,6033,5140,5744,10615,6241,11986,1620,8372,10741,3020,2716,9401,1659,4339,6716,6771,8784,3338,7914,7933,5297,8410,10705,12552,3293,5473,8341,10143,9037,0,5997,8199,1138,1189,11007,5335,12242,10678,3413,3469,3136
EMEIEF Moema Tinoco Cunha Lima,1711,8280,7849,5032,16650,7284,8762,2640,12720,10937,7284,2472,6732,4860,2532,7673,6124,5279,812,2175,2404,16953,10232,12220,9161,14448,14831,4873,5264,10815,7181,4202,5153,4733,10945,719,17913,7382,5048,7989,3653,5372,8484,13550,12627,5809,4298,8415,7432,5495,5942,0,8223,5467,5517,6759,14791,8623,13523,5063,11421,9502
EMEIEF Olívio Ribeiro Campos,11852,16969,7436,12392,13041,13171,14649,12650,10094,7328,13171,9428,10548,9396,11680,1213,14813,7965,9356,10597,7681,10702,10554,8611,4075,9308,11222,8447,12813,5853,10228,8513,13842,8125,9753,10860,11440,2245,11299,2662,10855,4105,3522,3084,7084,12060,10550,3602,6654,13478,9375,10141,0,8721,8971,15447,10004,14250,6927,10597,8930,8466
EMEIEF Prof. Durmeval Trigueiro Mendes,7083,11903,2489,5461,14326,6401,9583,7584,5876,8613,6401,4659,2589,1917,7434,7464,9747,8608,4587,5828,4409,6555,5661,6266,8336,6762,12508,995,7747,9990,3541,2091,8776,1033,4861,6091,7292,6557,3161,7164,7307,4547,7659,11226,11802,3116,5484,7590,9517,8412,931,5372,8721,0,1012,10381,5857,11617,11200,3236,3991,3657
EMEIEF Prof. Luiz Mendes Pontes,7133,11953,3176,3510,14959,4449,6668,7634,6563,9246,4449,4709,1577,964,7484,8096,9797,8658,4637,5878,4459,7241,5379,7537,8835,7449,13140,736,7797,10490,2026,2141,8826,1083,3721,6141,7979,7057,2149,7663,7358,5046,8159,11859,12301,2103,2985,8090,9567,8462,1189,5422,9353,1012,0,10432,6543,11667,11832,2224,3755,4344
EMEIEF Profa. Anayde Beiriz,10440,2217,11309,7309,22293,9561,11039,4362,14997,16580,9561,7039,9008,8856,10559,13316,1137,13803,7757,4826,9789,14676,12509,17863,15099,20092,20475,9674,3177,16753,9458,10060,2322,10591,13222,7393,15414,13320,7325,13927,12177,11310,14422,19193,18565,8085,6575,14353,14590,2311,11051,7269,13867,11325,9511,0,13978,17147,19167,7339,13698,11779
EMEIEF Prof. Hugo Moura,17918,15036,3696,7173,7407,8327,9274,10570,2454,4034,8327,12531,5656,7381,18269,10994,12879,17966,15422,11034,15244,1176,5307,2521,14667,1586,4828,6664,10771,16444,5253,14579,11762,6703,4477,16926,1914,12836,7498,13254,18143,13798,14113,8585,14723,6623,7706,14194,17246,11638,5264,16207,12252,6229,6477,13514,0,19929,6064,7778,3420,2952
EMEIEF Quilombola Profa. Antônia do Socorro Silva Machado,8331,16538,15923,14203,21260,14981,16459,11408,18581,18018,14981,10236,13192,10958,7487,9965,14382,3727,8691,10207,7332,21563,17930,16830,5665,19058,18668,10970,13522,8241,13641,10300,13411,10830,18643,8415,22523,7723,13110,7295,5328,10414,7277,14636,8572,13871,12360,6458,3304,13752,12040,8757,9590,11565,11615,15016,19401,0,17251,12408,19119,16953
EMEIEF Séráfico da Nóbrega,15386,20513,7531,15936,5703,16715,18193,16194,7303,3871,16715,12962,9723,12930,15737,7107,18357,15434,12890,14131,12712,5178,9209,3454,10780,4973,1738,12024,16357,12311,9319,12047,17386,11702,8408,14394,6138,8949,14843,9685,15611,11266,9354,4420,10557,15604,14094,11703,13664,17022,12382,13675,7501,11558,12116,18991,6306,17724,0,14141,7585,7121
EMEIEF em Tempo Integral Almirante Barroso,10089,8329,4982,1862,19024,5273,6751,4010,7671,13310,5273,3769,2681,1057,10207,10046,6173,10411,5350,4475,6519,8349,8222,14593,11829,8758,17205,2386,4173,13484,3130,2376,5202,2686,8935,6600,9087,10050,997,10657,11825,8040,11153,15924,15295,1758,892,11083,11321,4838,3413,6516,10597,3236,2224,6808,7651,13420,15897,0,4860,5452
EMEIEF em Tempo Integral Damásio Barbosa da França,13997,12238,2169,4522,13662,5461,6603,7919,2006,5568,5461,7677,3005,4945,14116,6799,10082,14320,9259,8383,7903,4228,2491,5198,10472,4638,7881,4489,8082,12249,2602,5585,9111,4528,1690,10509,4966,8641,4847,9059,10802,9307,9918,10562,14061,3972,5055,9998,15229,8747,3088,8866,8056,4007,4302,10716,4025,17329,8084,5127,0,795
Instituto Dom Adauto,13697,11937,1361,4221,13131,5160,6842,7618,2637,5037,5160,7377,2704,4430,13815,6268,9781,11325,8958,8083,7126,4132,2729,4667,9941,4542,7785,3713,7781,11718,2301,4808,8810,3751,1929,10208,4870,8110,4547,8528,10025,8776,9387,10031,13530,3671,4754,9468,12235,8446,2312,8089,7526,3230,3525,10416,3434,14334,7553,4827,1073,0
